Timestamp,Are You From RVU or RVCE,Gender,Veg/Non Veg,Prefered cuisine,Go to Beverage,Mingos Rating,Thoda Aur Rating,How much you spend on average breakfast/snacks daily,How much  you spend on lunch daily,Average waiting time(minutes)
18/12/2023 21:21:11,RVU,Female,Non Veg,North Indian,Chia seed juice,4,5,0-50,0-100,5-10
18/12/2023 21:23:03,RVU,Male,Non Veg,Biryani,Aerated beverages,4,5,50-100,100-200,5-10
18/12/2023 21:23:20,RVU,Male,Non Veg,Biryani,Fruit juice,3,3,50-100,0-100,10-15
18/12/2023 21:29:11,RVU,Male,Non Veg,Biryani,Aerated beverages,5,5,150-200,300-400,5-10
18/12/2023 21:30:40,RVU,Male,Non Veg,Chinese,Energy drinks,5,5,50-100,0-100,5-10
18/12/2023 21:30:58,RVU,Male,Non Veg,South Indian,Energy drinks,3,4,0-50,0-100,10-15
18/12/2023 21:31:04,RVU,Male,Veg,South Indian,Tea/coffee,5,5,0-50,0-100,0-5
18/12/2023 21:31:05,RVU,Male,Non Veg,Biryani,Fruit juice,1,3,100-150,100-200,5-10
18/12/2023 21:31:07,RVU,Male,Veg,South Indian,Tea/coffee,3,3,0-50,0-100,10-15
18/12/2023 21:31:10,RVU,Male,Non Veg,Biryani,Aerated beverages,3,3,50-100,200-300,15 -20
18/12/2023 21:31:47,RVU,Female,Veg,North Indian,Fruit juice,3,3,0-50,0-100,5-10
18/12/2023 21:31:50,RVU,Male,Non Veg,South Indian,Energy drinks,3,3,150-200,100-200,15 -20
18/12/2023 21:32:08,RVU,Male,Veg,North Indian,Aerated beverages,1,1,150-200,200-300,15 -20
18/12/2023 21:32:59,RVU,Male,Veg,North Indian,Tea/coffee,4,3,0-50,100-200,15 -20
18/12/2023 21:33:15,RVCE,Male,Non Veg,North Indian,Energy drinks,3,3,0-50,0-100,5-10
18/12/2023 21:33:58,RVCE,Male,Non Veg,North Indian,Chia seed juice,5,5,0-50,0-100,15 -20
18/12/2023 21:33:59,RVCE,Female,Non Veg,Biryani,Tea/coffee,5,5,0-50,100-200,0-5
18/12/2023 21:34:02,RVCE,Male,Veg,Chaats,Aerated beverages,4,3,0-50,0-100,0-5
18/12/2023 21:34:09,RVCE,Male,Non Veg,North Indian,Aerated beverages,5,2,50-100,100-200,5-10
18/12/2023 21:34:18,RVU,Male,Veg,Fast food,Chia seed juice,3,3,0-50,100-200,10-15
18/12/2023 21:35:36,RVCE,Female,Veg,Chaats,Tea/coffee,5,5,0-50,0-100,5-10
18/12/2023 21:36:32,RVU,Female,Non Veg,Biryani,Fruit juice,4,1,50-100,0-100,10-15
18/12/2023 21:36:33,RVU,Male,Non Veg,Biryani,Fruit juice,3,2,50-100,0-100,5-10
18/12/2023 21:36:37,RVU,Male,Veg,North Indian,Chia seed juice,3,4,0-50,0-100,5-10
18/12/2023 21:37:52,RVU,Male,Non Veg,South Indian,Chia seed juice,4,5,50-100,0-100,5-10
18/12/2023 21:38:11,RVU,Male,Non Veg,South Indian,Fruit juice,4,3,50-100,100-200,5-10
18/12/2023 21:38:13,RVU,Female,Veg,Chaats,Fruit juice,4,1,50-100,0-100,0-5
18/12/2023 21:38:59,RVCE,Female,Veg,Fast food,Tea/coffee,3,4,0-50,0-100,10-15
18/12/2023 21:39:09,RVU,Male,Non Veg,Biryani,Aerated beverages,3,3,0-50,100-200,10-15
18/12/2023 21:40:12,RVCE,Female,Non Veg,Biryani,Aerated beverages,5,1,50-100,100-200,10-15
18/12/2023 21:40:14,RVCE,Female,Veg,Fast food,Tea/coffee,4,4,0-50,0-100,5-10
18/12/2023 21:41:09,RVCE,Male,Non Veg,Biryani,Aerated beverages,2,3,100-150,100-200,5-10
18/12/2023 21:42:29,RVU,Female,Non Veg,Biryani,Fruit juice,4,1,50-100,0-100,10-15
18/12/2023 21:43:02,RVU,Female,Non Veg,Fast food,Tea/coffee,1,4,50-100,0-100,10-15
18/12/2023 21:43:27,RVU,Male,Veg,South Indian,Tea/coffee,4,4,0-50,0-100,5-10
18/12/2023 21:45:12,RVU,Male,Veg,Chaats,Energy drinks,4,4,50-100,100-200,15 -20
18/12/2023 21:45:27,RVU,Female,Veg,Chinese,Chia seed juice,3,4,0-50,0-100,5-10
18/12/2023 21:47:01,RVU,Male,Non Veg,Fast food,Aerated beverages,2,2,50-100,0-100,10-15
18/12/2023 21:47:57,RVCE,Male,Non Veg,South Indian,Tea/coffee,5,5,0-50,0-100,5-10
18/12/2023 21:48:20,RVU,Male,Veg,North Indian,Fruit juice,4,4,0-50,0-100,5-10
18/12/2023 21:48:52,RVU,Male,Non Veg,Fast food,Energy drinks,2,4,50-100,0-100,5-10
18/12/2023 21:49:26,RVU,Male,Veg,South Indian,Aerated beverages,2,3,50-100,0-100,0-5
18/12/2023 21:50:35,RVU,Female,Veg,Fast food,Energy drinks,3,3,50-100,0-100,5-10
18/12/2023 21:50:42,RVU,Male,Non Veg,Biryani,Tea/coffee,3,3,100-150,100-200,5-10
18/12/2023 21:50:42,RVCE,Female,Non Veg,South Indian,Fruit juice,3,3,0-50,0-100,5-10
18/12/2023 21:50:51,RVCE,Female,Veg,North Indian,Fruit juice,3,3,100-150,200-300,15 -20
18/12/2023 21:51:30,RVCE,Male,Veg,North Indian,Aerated beverages,4,2,50-100,100-200,15 -20
18/12/2023 21:52:50,RVCE,Male,Non Veg,North Indian,Aerated beverages,3,2,100-150,100-200,10-15
18/12/2023 21:53:45,RVCE,Male,Non Veg,Fast food,Fruit juice,3,2,0-50,0-100,5-10
18/12/2023 21:56:01,RVCE,Male,Veg,Chinese,Tea/coffee,3,3,100-150,200-300,5-10
18/12/2023 21:56:08,RVCE,Female,Non Veg,Fast food,Tea/coffee,4,4,50-100,100-200,5-10
