,Timestamp,Are You From RVU or RVCE,Gender,Veg/Non Veg,Prefered cuisine,Go to Beverage,Mingos Rating,Thoda Aur Rating,How much you spend on average breakfast/snacks daily,How much  you spend on lunch daily,Average waiting time(minutes)
0,18/12/2023 21:21:11,RVU,Female,Non Veg,North Indian,Chia seed juice,4,5,20,60,7
1,18/12/2023 21:23:03,RVU,Male,Non Veg,Biryani,Aerated beverages,4,5,50,160,9
2,18/12/2023 21:23:20,RVU,Male,Non Veg,Biryani,Fruit juice,3,3,80,80,12
3,18/12/2023 21:29:11,RVU,Male,Non Veg,Biryani,Aerated beverages,5,5,190,320,6
4,18/12/2023 21:30:40,RVU,Male,Non Veg,Chinese,Energy drinks,5,5,80,90,8
5,18/12/2023 21:30:58,RVU,Male,Non Veg,South Indian,Energy drinks,3,4,40,50,15
6,18/12/2023 21:31:04,RVU,Male,Veg,South Indian,Tea/coffee,5,5,20,70,4
7,18/12/2023 21:31:05,RVU,Male,Non Veg,Biryani,Fruit juice,1,3,130,130,6
8,18/12/2023 21:31:07,RVU,Male,Veg,South Indian,Tea/coffee,3,3,40,70,14
9,18/12/2023 21:31:10,RVU,Male,Non Veg,Biryani,Aerated beverages,3,3,80,250,17
10,18/12/2023 21:31:47,RVU,Female,Veg,North Indian,Fruit juice,3,3,30,60,5
11,18/12/2023 21:31:50,RVU,Male,Non Veg,South Indian,Energy drinks,3,3,150,170,15
12,18/12/2023 21:32:08,RVU,Male,Veg,North Indian,Aerated beverages,1,1,180,250,20
13,18/12/2023 21:32:59,RVU,Male,Veg,North Indian,Tea/coffee,4,3,20,190,19
14,18/12/2023 21:33:15,RVCE,Male,Non Veg,North Indian,Energy drinks,3,3,20,60,6
15,18/12/2023 21:33:58,RVCE,Male,Non Veg,North Indian,Chia seed juice,5,5,20,50,16
16,18/12/2023 21:33:59,RVCE,Female,Non Veg,Biryani,Tea/coffee,5,5,30,160,8
17,18/12/2023 21:34:02,RVCE,Male,Veg,Chaats,Aerated beverages,4,3,30,60,4
18,18/12/2023 21:34:09,RVCE,Male,Non Veg,North Indian,Aerated beverages,5,2,70,120,10
19,18/12/2023 21:34:18,RVU,Male,Veg,Fast food,Chia seed juice,3,3,20,170,10
20,18/12/2023 21:35:36,RVCE,Female,Veg,Chaats,Tea/coffee,5,5,30,50,5
21,18/12/2023 21:36:32,RVU,Female,Non Veg,Biryani,Fruit juice,4,1,50,50,5
22,18/12/2023 21:36:33,RVU,Male,Non Veg,Biryani,Fruit juice,3,2,50,70,9
23,18/12/2023 21:36:37,RVU,Male,Veg,North Indian,Chia seed juice,3,4,40,80,7
